RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
2;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
3;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
4;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
5;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
6;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
7;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
8;TRANSPORTE AEREO;TURISMO;TRANSPORTE AEREO;TURISMO;1;TURISMO;TURISMO
9;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
10;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
11;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
12;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
13;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
14;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
15;TRANSPORTE TERRESTRE;TURISMO;TRANSPORTE TERRESTRE;TURISMO;1;TURISMO;TURISMO
16;TRANSPORTE MARITIMO;TURISMO;TRANSPORTE MARITIMO;TURISMO;1;TURISMO;TURISMO
17;TRANSPORTE MARITIMO;TURISMO;TRANSPORTE MARITIMO;TURISMO;1;TURISMO;TURISMO
18;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
19;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
20;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
21;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
22;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
23;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
24;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
25;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
26;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
27;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
28;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
29;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
30;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
31;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
32;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
33;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
34;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
35;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
36;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
37;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
38;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
39;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;ARTICULOS Y SERVICIOS PARA EL AUTOMOTOR;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
40;COMBUSTIBLE;AUTOMOVIL;COMBUSTIBLE;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
41;COMBUSTIBLE;AUTOMOVIL;COMBUSTIBLE;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
42;COMBUSTIBLE;AUTOMOVIL;COMBUSTIBLE;AUTOMOVIL;1;AUTOMOVIL;AUTOMOVIL
43;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
44;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
45;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
46;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
47;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
48;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
49;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
50;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
51;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
52;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
53;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
54;HOSPEDAJES;TURISMO;HOSPEDAJES;TURISMO;1;TURISMO;TURISMO
55;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
56;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
57;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
58;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
59;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
60;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
61;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
62;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
63;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
64;CASAS DE COMIDAS;GASTRONOMIA;CASAS DE COMIDAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
65;CONFITERIAS - WHISKERIAS;GASTRONOMIA;CONFITERIAS - WHISKERIAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
66;CONFITERIAS - WHISKERIAS;GASTRONOMIA;CONFITERIAS - WHISKERIAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
67;CONFITERIAS - WHISKERIAS;GASTRONOMIA;CONFITERIAS - WHISKERIAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
68;CONFITERIAS - WHISKERIAS;GASTRONOMIA;CONFITERIAS - WHISKERIAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
69;CONFITERIAS - WHISKERIAS;GASTRONOMIA;CONFITERIAS - WHISKERIAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
70;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;OTROS
71;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;OTROS
72;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;OTROS
73;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;OTROS
74;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;ENTRETENIMIENTO Y RECREACION
75;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;ENTRETENIMIENTO Y RECREACION
76;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;ESPECTACULOS Y ACTIVIDADES RECREATIVAS;OTROS;1;OTROS;ENTRETENIMIENTO Y RECREACION
77;AMOBLAMIENTOS;HOGAR;AMOBLAMIENTOS;HOGAR;1;HOGAR;HOGAR
78;AMOBLAMIENTOS;HOGAR;AMOBLAMIENTOS;HOGAR;1;HOGAR;HOGAR
