Cliente_Key	Codigo_Cliente	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_CC_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_CA_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_Paq_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_Paq_Voluntarios_Sum
21779	1353495																																				
38434	1339177																																				
59671	1323050																																				
78532	1307954												0												1												0
96682	32157																																				
118215	69415																																				
138553	17630									0												0												2			
157908	33841																																				
181049	1131346												0												1												0
201910	1024649								1												0												0				
219226	83440																																				
237609	1067738																																				
256232	1091004												0												1												0
279738	1019340																																				
294198	1036726																																				
315867	1063282																																				
333126	1179868																																				
350426	1205268																																				
367276	1223092							0												1												0					
389040	1147670																																				
413064	1282348												0												1												0
428133	1301104									0												0												2			
442571	1318754																																				
458657	1338229																																				
475829	1353393																																				
495546	1366509																																				
551452	1569530																																				
604014	1536600							0												1												0					
645557	1386200							0												1												0					
706941	1453059																																				
750015	1504944																																				
828947	1699914																																				
853239	1724214																																				
887351	1758314							0												1												0					
909064	1779965																																				
933432	1804834																																				
959953	1831169																																				
983571	1854300								1												0												0				
1002079	1872462							0												1												0					
1023959	1894809																																				
1047052	1918168																																				
1070519	1941036							0												1												0					
1095889	1966864							0												1												0					
1114607	1985584																																				
1134354	2005097																																				
1155817	2026804																																				
1208012	2078955																																				
1236950	2108116																																				
1264078	2135110																																				
1296084	2167128																																				
1320060	2191101																																				
1347360	2221061																																				
1378790	2252114																																				
1400818	2269510									0												0												2			
1422269	2293944																																				
1441684	2313515																																				
1456789	2329467																																				
1473774	2346618																																				
1497819	2371315																																				
1521495	2395895																																				
1537232	2411583																																				
1561960	2898807																																				
1584438	2647318							0												1												0					
1611034	2426985									0												0												2			
1633069	2452384							0												1												0					
1657048	2479905																																				
1678317	2505086					1												0												0							
1696712	2526211							0												1												0					
1720274	2554077																																				
1753046	2590461																																				
1781744	2622972																																				
1807853	2653679																																				
1832482	2679916							0												1												0					
1860997	2713345																																				
1883419	2738262																																				
1913925	2772597								1												0												0				
1936808	2797974																																				
1959362	2824154			0												0												2									
1977567	2844606												0												1												0
2004763	2875029																																				
2033225	2908373																																				
2064002	2942937								1												0												0				
2084914	2966992																																				
2110221	2996968							0												1												0					
2135035	3037644																																				
2170931	3044653																																				
2184493	3059451																																				
2209191	3084764								1												0												0				
2228941	3105076																																				
2248238	3124645																																				
2269899	3147193																																				
2291945	3169800																																				
2315743	3194139																																				
2329027	3207770																																				
2344336	3223807																																				
2362662	3241888																																				
2379977	3259429							0												1												0					
2860939	3274345																																				
2887497	3296885																																				
2916923	3320588							0												1												0					
2941009	3340568																																				
2962745	3357914																																				
2986302	3375159																																				
3008168	3393442									0												0												2			
3033031	3412836	0												1												0											
3052868	3429107																																				
3078425	3448999																																				
3105063	3472001									0												0												2			
3138294	5030507							0												1												0					
3170051	5078517							0												1												0					
3191572	5108990								1												0												0				
3214483	5144635							0												1												0					
3235921	5174419							0												1												0					
3252609	5195052								1												0												0				
3273772	5226538																																				
3293987	5254444								1												0												0				
3334311	5305249							0												1												0					
3376837	5363138																																				
3407895	5410013							0												1												0					
3442404	5468007								1												0												0				
3467769	5509315																																				
3500448	5430702							0												1												0					
3527932	5412770									0												0												2			
3553865	5107248																																				
3585380	5232083								1												0												0				
3625265	5536114								1												0												0				
3644811	5555627																																				
3663141	5571461									0												0												2			
3698875	5610763																																				
3721675	5632900																																				
3741256	5660353												0												1												0
3753468	5674273																																				
3761974	5672966																																				
3769267	5686434							0												1												0					
3782089	5694852							0												1												0					
3791495	5720573							0												1												0					
3797396	5730371																																				
3812774	5764407																																				
3822726	5708519																																				
3827468	5722687												0												1												0
3842627	5758992												0												1												0
3853241	5713484																																				
3862749	5776948												0												1												0
3869980	5787822																																				
3875313	5784686							0												1												0					
3887072	5782617																																				
3899911	5810567							0												1												0					
3906212	5812504																																				
3911313	5818825							0												1												0					
3919125	5828378																																				
3933918	5854367																																				
3942008	5856129																																				
3953929	5865601							0												1												0					
3961546	5872446																																				
